ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
0553268880,The Prince of Tides,Pat Conroy,1987,Bantam Books,http://images.amazon.com/images/P/0553268880.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553268880.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553268880.01.LZZZZZZZ.jpg
0375727345,House of Sand and Fog,Andre Dubus III,2000,Vintage Books,http://images.amazon.com/images/P/0375727345.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375727345.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375727345.01.LZZZZZZZ.jpg
0312924585,Silence of the Lambs,Thomas Harris,1991,St. Martin's Press,http://images.amazon.com/images/P/0312924585.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312924585.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312924585.01.LZZZZZZZ.jpg
0515132020,Heaven and Earth (Three Sisters Island Trilogy),Nora Roberts,2003,Jove Books,http://images.amazon.com/images/P/0515132020.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515132020.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515132020.01.LZZZZZZZ.jpg
0515131229,Dance upon the Air (Three Sisters Island Trilogy),Nora Roberts,2003,Jove Books,http://images.amazon.com/images/P/0515131229.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515131229.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515131229.01.LZZZZZZZ.jpg
0441790348,Stranger in a Strange Land (Remembering Tomorrow),Robert A. Heinlein,1995,ACE Charter,http://images.amazon.com/images/P/0441790348.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441790348.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441790348.01.LZZZZZZZ.jpg
042516098X,Hornet's Nest,Patricia Daniels Cornwell,1998,Berkley Publishing Group,http://images.amazon.com/images/P/042516098X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/042516098X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/042516098X.01.LZZZZZZZ.jpg
038549081X,The Handmaid's Tale : A Novel,Margaret Atwood,1998,Anchor,http://images.amazon.com/images/P/038549081X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038549081X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038549081X.01.LZZZZZZZ.jpg
0439139597,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2000,Scholastic,http://images.amazon.com/images/P/0439139597.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439139597.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439139597.01.LZZZZZZZ.jpg
0446322180,Name of the Rose-Nla,Umberto Eco,1984,Warner Books,http://images.amazon.com/images/P/0446322180.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446322180.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446322180.01.LZZZZZZZ.jpg
043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic,http://images.amazon.com/images/P/043935806X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/043935806X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/043935806X.01.LZZZZZZZ.jpg
0679751521,Midnight in the Garden of Good and Evil,John Berendt,1999,Vintage Books USA,http://images.amazon.com/images/P/0679751521.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679751521.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679751521.01.LZZZZZZZ.jpg
0316693235,Violets Are Blue,James Patterson,2001,"Little, Brown",http://images.amazon.com/images/P/0316693235.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316693235.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316693235.01.LZZZZZZZ.jpg
0679454470,"The Vampire Armand : The Vampire Chronicles (Rice, Anne, Vampire Chronicles)",Anne Rice,1998,Alfred A. Knopf,http://images.amazon.com/images/P/0679454470.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679454470.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679454470.01.LZZZZZZZ.jpg
0385503822,The Summons,John Grisham,2002,Doubleday Books,http://images.amazon.com/images/P/0385503822.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385503822.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385503822.01.LZZZZZZZ.jpg
0440998050,A Wrinkle in Time,Madeleine L'Engle,1976,Laure Leaf,http://images.amazon.com/images/P/0440998050.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440998050.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440998050.01.LZZZZZZZ.jpg
0679745203,The English Patient,Michael Ondaatje,1996,Vintage Books USA,http://images.amazon.com/images/P/0679745203.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679745203.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679745203.01.LZZZZZZZ.jpg
006000469X,"Engaged to Die : A Death on Demand Mystery (Hart, Carolyn G)",Carolyn Hart,2003,William Morrow,http://images.amazon.com/images/P/006000469X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/006000469X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/006000469X.01.LZZZZZZZ.jpg
0380812037,On a Wild Night (Cynster Novels),Stephanie Laurens,2002,Avon,http://images.amazon.com/images/P/0380812037.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380812037.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380812037.01.LZZZZZZZ.jpg
0525941908,The Regulators,Richard Bachman,1996,Dutton Books,http://images.amazon.com/images/P/0525941908.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0525941908.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0525941908.01.LZZZZZZZ.jpg
0451169522,Misery,Stephen King,2004,Penguin USA (Paper),http://images.amazon.com/images/P/0451169522.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451169522.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451169522.01.LZZZZZZZ.jpg
0425107469,Watchers,Dean R. Koontz,1996,Berkley Publishing Group,http://images.amazon.com/images/P/0425107469.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425107469.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425107469.01.LZZZZZZZ.jpg
0671027573,Mr. Perfect,Linda Howard,2001,Pocket Star,http://images.amazon.com/images/P/0671027573.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671027573.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671027573.01.LZZZZZZZ.jpg
0425081818,The Talisman,Stephen King,1985,Berkley Publishing Group,http://images.amazon.com/images/P/0425081818.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425081818.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425081818.01.LZZZZZZZ.jpg
0385472943,The Runaway Jury,JOHN GRISHAM,1996,Doubleday,http://images.amazon.com/images/P/0385472943.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385472943.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385472943.01.LZZZZZZZ.jpg
0399148248,Midnight Bayou,Nora Roberts,2001,Putnam Publishing Group,http://images.amazon.com/images/P/0399148248.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399148248.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399148248.01.LZZZZZZZ.jpg
0441010512,Club Dead (Southern Vampire Mysteries),Charlaine Harris,2003,Ace Books,http://images.amazon.com/images/P/0441010512.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441010512.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441010512.01.LZZZZZZZ.jpg
0842329242,Nicolae: The Rise of Antichrist (Left Behind No. 3),Tim F. Lahaye,1998,Tyndale House Publishers,http://images.amazon.com/images/P/0842329242.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842329242.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842329242.01.LZZZZZZZ.jpg
0399151060,"Remember When (Roberts, Nora)",Nora Roberts,2003,Putnam Publishing Group,http://images.amazon.com/images/P/0399151060.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399151060.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399151060.01.LZZZZZZZ.jpg
0743245520,"Hello, Darkness",Sandra Brown,2003,Simon &amp; Schuster,http://images.amazon.com/images/P/0743245520.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743245520.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743245520.01.LZZZZZZZ.jpg
0446363251,"Scarlett : The Sequel to Margaret Mitchell's \Gone With the Wind\""""",Alexandra Ripley,1992,Warner Books,http://images.amazon.com/images/P/0446363251.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446363251.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446363251.01.LZZZZZZZ.jpg
0451208552,Shop Till You Drop,Elaine Viets,2003,Signet Book,http://images.amazon.com/images/P/0451208552.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451208552.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451208552.01.LZZZZZZZ.jpg
0399133143,The Tommyknockers,Stephen King,1987,Putnam Pub Group,http://images.amazon.com/images/P/0399133143.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399133143.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399133143.01.LZZZZZZZ.jpg
0515136379,Key of Knowledge (Key Trilogy (Paperback)),Nora Roberts,2003,Jove Books,http://images.amazon.com/images/P/0515136379.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515136379.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515136379.01.LZZZZZZZ.jpg
0515136530,"Key of Valor (Roberts, Nora. Key Trilogy, 3.)",Nora Roberts,2003,Jove Pubns,http://images.amazon.com/images/P/0515136530.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515136530.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515136530.01.LZZZZZZZ.jpg
0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling,http://images.amazon.com/images/P/0440498058.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440498058.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440498058.01.LZZZZZZZ.jpg
0425183971,Reunion in Death,J. D. Robb,2002,Berkley Publishing Group,http://images.amazon.com/images/P/0425183971.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425183971.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425183971.01.LZZZZZZZ.jpg
0811801802,Sabine's Notebook: In Which the Extraordinary Correspondence of Griffin &amp; Sabine Continues,Nick Bantock,1992,Chronicle Books,http://images.amazon.com/images/P/0811801802.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0811801802.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0811801802.01.LZZZZZZZ.jpg
0877017883,Griffin &amp; Sabine: An Extraordinary Correspondence,Nick Bantock,1991,Chronicle Books,http://images.amazon.com/images/P/0877017883.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0877017883.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0877017883.01.LZZZZZZZ.jpg
0425132048,Eyes of Prey,John Sandford,2004,Berkley Publishing Group,http://images.amazon.com/images/P/0425132048.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425132048.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425132048.01.LZZZZZZZ.jpg
0451190556,The Green Mile: The Bad Death of Eduard Delacroix (Green Mile Series),Stephen King,1996,Signet Book,http://images.amazon.com/images/P/0451190556.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451190556.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451190556.01.LZZZZZZZ.jpg
0441004520,Killing Dance (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,2001,Ace Books,http://images.amazon.com/images/P/0441004520.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441004520.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441004520.01.LZZZZZZZ.jpg
0451169514,It,Stephen King,1997,Signet Book,http://images.amazon.com/images/P/0451169514.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451169514.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451169514.01.LZZZZZZZ.jpg
038531292X,The Gift,Danielle Steel,1994,Delacorte Press,http://images.amazon.com/images/P/038531292X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038531292X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038531292X.01.LZZZZZZZ.jpg
0061000027,Dance Hall of the Dead (Joe Leaphorn Novels),Tony Hillerman,1990,HarperTorch,http://images.amazon.com/images/P/0061000027.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061000027.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061000027.01.LZZZZZZZ.jpg
006440188X,The Secret Garden,Frances Hodgson Burnett,1998,HarperTrophy,http://images.amazon.com/images/P/006440188X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/006440188X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/006440188X.01.LZZZZZZZ.jpg
0449213730,The Ritual Bath (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman,1991,Fawcett Books,http://images.amazon.com/images/P/0449213730.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449213730.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449213730.01.LZZZZZZZ.jpg
067081458X,The Eyes of the Dragon,Stephen King,1987,Viking Books,http://images.amazon.com/images/P/067081458X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067081458X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067081458X.01.LZZZZZZZ.jpg
0440932599,Deenie,JUDY BLUME,1991,Laure Leaf,http://images.amazon.com/images/P/0440932599.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440932599.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440932599.01.LZZZZZZZ.jpg
